id,data_year,school_name,private_flag,school_type,school_region,urbanization_level,enrollment_quota,new_student_count,stability,enrollment_rate,tuition_revenue_ratio,debt_ratio,net_income_ratio,totur_flag,closure_flag
177,107,國立臺南藝術大學,0,一般大學,臺南市官田區,6,420,369,92.09,88.3,15.67,3.13,84.33,0,0
178,107,國立臺東大學,0,一般大學,臺東縣臺東市,4,1482,1216,90.27,83.98,19.85,5.15,80.15,0,0
179,107,國立臺灣大學,0,一般大學,臺北市大安區,1,8537,8008,96.14,94.53,10.29,35.09,89.71,0,0
180,107,國立臺灣師範大學,0,一般大學,臺北市大安區,1,4131,3746,94.7,92.55,13.87,16.26,86.13,0,0
181,107,國立臺灣海洋大學,0,一般大學,基隆市中正區,4,2571,2245,94.28,88.12,18.27,16.92,81.73,0,0
182,107,國立臺灣藝術大學,0,一般大學,新北市板橋區,1,1363,1334,94.19,97.87,27,5.4,73,0,0
183,107,國立臺灣體育運動大學,0,一般大學,臺中市北區,1,781,759,85.82,97.37,21.25,4.71,78.75,0,0
184,107,國立金門大學,0,一般大學,金門縣金寧鄉,5,1096,942,86.6,86.32,27.28,12.11,72.72,0,0
185,107,國立陽明交通大學,0,一般大學,新竹市東區,2,4204,4022,95.47,96.25,11.95,38.58,88.05,0,0
186,107,國立陽明大學,0,一般大學,臺北市北投區,2,1288,1103,89.78,86.83,9.53,29.73,90.47,0,0
187,107,國立體育大學,0,一般大學,桃園市龜山區,3,637,603,94.44,94.9,14,6,86,0,0
188,107,國立高雄大學,0,一般大學,高雄市楠梓區,2,1580,1459,92.96,92.71,25.36,7.72,74.64,0,0
189,107,國立高雄師範大學,0,一般大學,高雄市苓雅區,1,1994,1711,90.1,86.17,23.71,10.54,76.29,0,0
190,107,臺北市立大學,0,一般大學,臺北市中正區,1,2043,1935,90.1,94.94,19.47,#N/A,80.53,0,0
191,107,國立勤益科技大學,0,技專校院,臺中市太平區,3,3209,2970,93.87,92.71,33.96,9.69,66.04,0,0
192,107,國立屏東科技大學,0,技專校院,屏東縣內埔鄉,6,2783,2400,93.85,87.07,22.32,20.15,77.68,0,0
193,107,國立澎湖科技大學,0,技專校院,澎湖縣馬公市,4,828,699,91.32,84.48,22,2.55,78,0,0
194,107,國立臺中科技大學,0,技專校院,臺中市北區,1,5032,4846,96,96.34,36.69,3.31,63.31,0,0
195,107,國立臺北商業大學,0,技專校院,臺北市中正區,1,2217,2156,95.89,97.9,32.95,4.24,67.05,0,0
196,107,國立臺北科技大學,0,技專校院,臺北市大安區,1,3483,3345,95.58,96.48,23.82,15.27,76.18,0,0
197,107,國立臺北護理健康大學,0,技專校院,臺北市北投區,2,1494,1433,96.21,96.23,26.91,8.44,73.09,0,0
198,107,國立臺南護理專科學校,0,技專校院,臺南市中西區,2,445,430,99.02,96.63,19.7,1.28,80.3,0,0
199,107,國立臺東專科學校,0,技專校院,臺東縣臺東市,4,598,391,84.79,65.6,13.48,3.09,86.52,0,0
200,107,國立臺灣戲曲學院,0,技專校院,臺北市內湖區,2,144,141,90.78,97.99,5.65,7.34,94.35,0,0
201,107,國立臺灣科技大學,0,技專校院,臺北市大安區,1,2645,2541,96.04,97,18.42,24.7,81.58,0,0
202,107,國立虎尾科技大學,0,技專校院,雲林縣虎尾鎮,4,3029,2686,95.3,88.95,25.64,10.76,74.36,0,0
203,107,國立雲林科技大學,0,技專校院,雲林縣斗六市,4,2724,2403,96.88,88.86,22.55,16.41,77.45,0,0
204,107,國立高雄科技大學,0,技專校院,高雄市三民區,2,7877,7352,95.68,93.41,27.08,13.94,72.92,0,0
205,107,國立高雄餐旅大學,0,技專校院,高雄市小港區,4,1199,1128,96.67,94.61,29.17,11.59,70.83,0,0
206,107,世新大學,1,一般大學,臺北市文山區,2,2858,2670,91.71,93.9,65.49,1.25,34.51,0,0
207,107,中信學校財團法人中信金融管理學院,1,一般大學,臺南市安南區,3,240,240,78.15,100,18.69,5.81,81.31,0,0
208,107,中原大學,1,一般大學,桃園市中壢區,2,4263,3967,93.9,93.5,50.78,2.85,49.22,0,0
209,107,中國文化大學,1,一般大學,臺北市士林區,2,6890,5907,85.98,86.28,63.89,0.53,36.11,0,0
210,107,中國醫藥大學,1,一般大學,臺中市北區,1,1721,1567,95.17,91.65,18.68,35.48,81.32,0,0
211,107,中山醫學大學,1,一般大學,臺中市南區,1,1917,1707,90.94,89.37,43.54,4.54,56.46,0,0
212,107,中華大學學校財團法人中華大學,1,一般大學,新竹市香山區,3,2347,1845,88.95,81.08,54.84,17.16,45.16,0,0
